"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100004522726,239,1980,1987,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020017527,239,1977,2000,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,8,1,1,0,0,3,1,1,3,0,1,1,0
100016271670,239,1978,1991,NA,0,0,0,NA,NA,NA,1,0,0,1,1,1,1,0,1,0,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007515843,239,1978,1980,NA,0,NA,NA,NA,NA,NA,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001637445,239,1988,1991,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
100005371692,239,1982,1984,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020919363,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,1,0,0
100014100982,239,1986,1990,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011642097,239,1977,1979,0,0,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011456160,239,1977,2000,0,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,6,1,0,5,3,0,1,1,1,0,1,1,0,0
100009472337,239,1996,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1
100017394368,239,1977,1978,0,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020681006,239,1980,2000,NA,0,0,0,0,0,NA,NA,NA,8,1,1,0,2,1,2,1,0,0,3,1,1,0,1,0,1,0,1,0,0
100000663152,239,1977,1982,0,0,NA,NA,NA,NA,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100016183324,239,1990,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,NA,NA,NA,NA,NA
100001098034,239,1998,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
100009502417,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0
100009889403,239,1977,1990,0,0,0,0,NA,NA,2,1,0,1,3,1,0,0,4,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007886415,239,1977,1997,0,0,0,0,0,NA,0,1,36,3,1,1,0,2,0,1,1,4,2,1,1,0,0,1,0,1,2,NA,NA,NA
