"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100004522726,239,1980,1986,NA,0,0,NA,NA,NA,NA,NA,NA,0,6,14,28,21,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020017527,239,1977,2000,0,0,0,0,0,0,1,40,3,33,6,6,4,1,33,58,45,52,43,9,20,29,22,28,31,70,126,82,106,9
100016271670,239,1978,1991,NA,0,0,0,NA,NA,NA,0,23,83,21,19,50,8,6,14,11,12,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007515843,239,1978,1980,NA,0,NA,NA,NA,NA,NA,1,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001637445,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,3
100005371692,239,1977,1984,0,0,0,NA,NA,NA,2,12,3,7,16,23,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020919363,239,1977,1992,0,0,0,0,NA,NA,6,19,1,5,3,4,4,5,4,9,11,20,5,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA
100014100982,239,1977,1981,0,0,NA,NA,NA,NA,2,1,4,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011642097,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,11,10
100011456160,239,1985,1998,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15,15,18,19,5,21,39,26,52,40,41,100,111,77,NA,NA
100009472337,239,1977,1979,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100017394368,239,1977,2000,0,0,0,0,0,0,7,52,3,8,11,7,11,7,8,9,13,36,14,35,45,29,4,1,7,1,2,1,3,1
100020681006,239,1993,1998,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,3,1,NA,NA
100000663152,239,1977,1993,0,0,0,0,0,NA,7,21,12,44,23,9,4,13,8,1,12,23,19,3,2,6,6,NA,NA,NA,NA,NA,NA,NA
100016183324,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
100001098034,239,1977,2000,0,0,0,0,0,0,1,36,25,81,25,10,41,17,13,25,28,9,17,7,3,11,12,9,20,15,19,9,7,3
100009502417,239,1977,1988,0,0,0,0,NA,NA,2,22,14,6,12,4,19,11,16,24,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009889403,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,3
100007886415,239,1994,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,2,5,8,7,17
100010198402,239,1977,1993,0,0,0,0,0,NA,15,5,12,41,34,11,35,43,53,4,6,12,11,2,4,7,6,NA,NA,NA,NA,NA,NA,NA
100018973855,239,1977,1997,1,0,0,0,0,NA,19,24,26,102,185,127,191,66,92,138,279,237,110,77,27,18,13,12,3,7,3,NA,NA,NA
100009979257,239,1985,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,2,2,2,1,9,18,24,22,6,3,4,2,2
100020342155,239,1987,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,27,6,3,12,29,3,9,1,0,2,1,3
100003342546,239,1996,1997,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA
100020614100,239,1980,1982,NA,0,NA,NA,NA,NA,NA,NA,NA,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100002963881,239,1991,1999,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,4,6,6,9,NA
100001038359,239,1996,1998,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,NA,NA
100017561765,239,1990,1997,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,19,6,19,1,1,3,1,NA,NA,NA
