"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100004522726,239,1980,1986,NA,0,0,NA,NA,NA,NA,NA,NA,2,5,4,6,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020017527,239,1977,2000,0,0,0,0,0,0,7,20,52,28,23,42,25,63,56,26,22,11,36,51,35,57,14,8,5,5,5,3,3,1
100016271670,239,1978,1991,NA,0,0,0,NA,NA,NA,1,18,24,19,21,16,32,26,5,8,4,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007515843,239,1978,1980,NA,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001637445,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,5,1
100005371692,239,1977,1984,0,0,0,NA,NA,NA,26,11,13,7,7,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020919363,239,1977,1992,0,0,0,0,NA,NA,9,3,28,25,28,14,13,33,16,6,6,8,3,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA
100014100982,239,1977,1981,0,0,NA,NA,NA,NA,2,4,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011642097,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,5,3,1
100011456160,239,1985,1998,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,30,20,6,5,23,44,27,17,6,14,10,10,5,NA,NA
100009472337,239,1977,1979,0,0,NA,NA,NA,NA,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
