"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002"
100009868776,829,1977,2000,0,0,0,0,0,0
100005473037,829,1994,1998,NA,NA,NA,NA,0,0
100008747725,829,1984,1987,NA,NA,0,NA,NA,NA
100004641700,829,1977,2000,0,0,0,0,0,0
100020506568,829,1984,1997,NA,NA,0,0,0,NA
100008400052,829,1997,2000,NA,NA,NA,NA,0,0
100007075066,829,1999,2000,NA,NA,NA,NA,NA,0
100014779160,829,1977,1992,0,0,0,0,NA,NA
100000511200,829,1989,1992,NA,NA,NA,0,NA,NA
100019923184,829,1996,2000,NA,NA,NA,NA,0,0
100005905893,829,1985,1997,NA,NA,0,0,0,NA
100011978082,829,1977,2000,0,0,0,0,0,0
100014470291,829,1986,1999,NA,NA,0,0,0,0
100016473395,829,1977,1980,0,0,NA,NA,NA,NA
100012445235,829,1979,1980,NA,0,NA,NA,NA,NA
100014969559,829,1993,2000,NA,NA,NA,NA,0,0
100017514810,829,1977,2000,0,0,0,0,0,0
100000664825,829,1978,2000,NA,0,0,0,0,0
100008390736,829,1977,1978,0,0,NA,NA,NA,NA
100000217462,829,1977,2000,1,1,1,1,1,1
100000169059,829,2000,2000,NA,NA,NA,NA,NA,0
100010708601,829,1980,2000,NA,0,0,0,0,0
100002972756,829,1977,2000,1,1,1,1,1,0
100001739688,829,1993,2000,NA,NA,NA,NA,0,0
100007673652,829,1977,2000,0,0,0,0,0,0
100012434135,829,1991,2000,NA,NA,NA,0,0,1
100019933488,829,2000,2000,NA,NA,NA,NA,NA,0
100012455190,829,1983,2000,NA,NA,0,0,0,0
100001948999,829,1981,1991,NA,0,0,0,NA,NA
100009289272,829,1987,2000,NA,NA,0,0,0,0
100020913360,829,1991,2000,NA,NA,NA,0,0,0
100009202668,829,1995,1997,NA,NA,NA,NA,0,NA
100014291033,829,2000,2000,NA,NA,NA,NA,NA,0
100014848720,829,1977,2000,1,1,0,0,0,0
100020893054,829,1977,2000,0,0,0,0,0,0
100005485889,829,1977,2000,0,0,0,0,0,0
100009455928,829,1977,1987,0,0,0,NA,NA,NA
100013730340,829,1999,2000,NA,NA,NA,NA,NA,0
100005889915,829,1977,2000,0,0,0,0,0,0
100000174106,829,1977,2000,1,0,0,0,0,0
100018191016,829,1979,1984,NA,0,0,NA,NA,NA
100007204929,829,1980,1985,NA,0,0,NA,NA,NA
100005866254,829,1977,2000,1,0,0,0,0,0
100003519303,829,1993,2000,NA,NA,NA,NA,0,0
100000850037,829,1977,1977,1,NA,NA,NA,NA,NA
100002447120,829,1977,1987,0,0,1,NA,NA,NA
100009755728,829,1996,2000,NA,NA,NA,NA,0,0
100007856141,829,2000,2000,NA,NA,NA,NA,NA,0
100014402818,829,1984,1986,NA,NA,0,NA,NA,NA
100014901555,829,1977,2000,1,0,0,0,0,0
100004951782,829,1990,1992,NA,NA,NA,0,NA,NA
100001286986,829,1994,2000,NA,NA,NA,NA,0,0
100010393264,829,1977,1979,0,0,NA,NA,NA,NA
100006907654,829,1977,2000,1,1,1,1,1,1
100010699026,829,1984,2000,NA,NA,1,0,1,1
100003213166,829,1996,2000,NA,NA,NA,NA,0,0
100013920661,829,1983,2000,NA,NA,1,1,1,1
100018583172,829,1992,2000,NA,NA,NA,0,0,0
100007610982,829,1977,1980,0,0,NA,NA,NA,NA
100006532362,829,2000,2000,NA,NA,NA,NA,NA,0
100001425492,829,1995,2000,NA,NA,NA,NA,0,0
100002094965,829,1997,2000,NA,NA,NA,NA,0,0
100020983701,829,1993,2000,NA,NA,NA,NA,0,0
100010845087,829,1997,2000,NA,NA,NA,NA,0,0
100014318153,829,1977,2000,0,0,0,0,0,0
100020663919,829,1977,2000,0,0,0,0,0,0
100001147880,829,1977,2000,0,0,0,0,0,0
100011355990,829,1991,2000,NA,NA,NA,0,0,0
100015951829,829,1987,1990,NA,NA,0,0,NA,NA
100006908074,829,1977,2000,0,0,0,0,0,0
100004015345,829,1977,1982,1,1,NA,NA,NA,NA
100001086159,829,1977,2000,0,0,0,0,0,0
100009807649,829,1983,1986,NA,NA,0,NA,NA,NA
100014711754,829,1992,2000,NA,NA,NA,0,0,0
100007445496,829,1987,2000,NA,NA,0,0,0,0
100017862059,829,1977,2000,0,0,0,0,0,0
100019487265,829,1998,1999,NA,NA,NA,NA,NA,0
100019125490,829,1977,1979,0,0,NA,NA,NA,NA
100001333321,829,1977,1999,0,0,0,0,0,0
100020265630,829,1987,1996,NA,NA,0,0,0,NA
100018020615,829,1977,1977,1,NA,NA,NA,NA,NA
100009563842,829,1977,2000,1,1,1,1,1,1
100004668183,829,1977,1999,0,0,0,0,0,0
100010285424,829,1977,2000,0,0,0,0,0,0
100020271229,829,1995,2000,NA,NA,NA,NA,0,0
100000126852,829,1978,2000,NA,0,0,0,0,0
100014045895,829,1999,2000,NA,NA,NA,NA,NA,0
100019816112,829,1977,2000,0,0,0,0,0,0
100005553778,829,1977,1987,0,0,0,NA,NA,NA
100004184388,829,1977,2000,0,0,0,0,0,0
100008004869,829,1977,1977,1,NA,NA,NA,NA,NA
100002370778,829,1977,2000,0,0,0,0,0,0
100011586270,829,1977,1986,0,0,0,NA,NA,NA
100010880424,829,2000,2000,NA,NA,NA,NA,NA,0
100015128974,829,1986,2000,NA,NA,0,0,0,0
100021057707,829,1998,2000,NA,NA,NA,NA,NA,0
100008159470,829,1989,1994,NA,NA,NA,1,1,NA
100019602995,829,1977,1998,0,0,0,0,0,0
100018352326,829,1977,1980,0,0,NA,NA,NA,NA
100006143814,829,1977,1985,0,0,0,NA,NA,NA
100012722677,829,2000,2000,NA,NA,NA,NA,NA,0
100009989306,829,1977,1983,0,0,0,NA,NA,NA
100003306031,829,1977,2000,0,0,0,0,0,0
100005870088,829,1977,1978,0,0,NA,NA,NA,NA
100000349322,829,1992,1997,NA,NA,NA,1,0,NA
100016746661,829,1984,1988,NA,NA,0,0,NA,NA
100006817427,829,1977,2000,0,0,0,0,0,0
100001945789,829,1984,1989,NA,NA,0,0,NA,NA
100004881500,829,1991,2000,NA,NA,NA,0,0,0
100003978578,829,1986,1990,NA,NA,1,1,NA,NA
100020035141,829,1991,2000,NA,NA,NA,0,0,0
100009967875,829,1996,2000,NA,NA,NA,NA,0,0
100003315190,829,1978,1984,NA,0,0,NA,NA,NA
100013855867,829,1977,1995,0,1,1,1,1,NA
100015904279,829,1991,1992,NA,NA,NA,0,NA,NA
100001924254,829,1977,1988,0,0,0,0,NA,NA
100006897637,829,1985,2000,NA,NA,0,0,0,0
100012856454,829,1981,1991,NA,1,1,1,NA,NA
100000233460,829,1996,2000,NA,NA,NA,NA,1,1
100005688531,829,1979,1981,NA,0,NA,NA,NA,NA
100013298279,829,1999,2000,NA,NA,NA,NA,NA,0
100013378020,829,1994,2000,NA,NA,NA,NA,0,0
100017480886,829,1977,2000,1,1,1,0,0,0
100011747910,829,1981,2000,NA,0,0,0,0,0
100006823696,829,1984,2000,NA,NA,1,1,1,0
100002382747,829,1986,2000,NA,NA,0,0,0,0
100001772330,829,1985,2000,NA,NA,0,0,0,0
100004676876,829,1977,1991,0,0,0,0,NA,NA
100003481155,829,1992,2000,NA,NA,NA,0,0,0
100012632891,829,1977,1990,0,0,0,0,NA,NA
100009919215,829,1995,2000,NA,NA,NA,NA,0,0
100020618413,829,1977,2000,0,0,0,0,0,0
100012188376,829,1977,2000,0,0,0,0,0,0
100012640451,829,1981,1984,NA,0,0,NA,NA,NA
100001184768,829,1977,1992,0,0,0,0,NA,NA
100001075867,829,1977,2000,0,0,0,0,0,0
100008415347,829,1981,1982,NA,0,NA,NA,NA,NA
100014734163,829,1991,1999,NA,NA,NA,0,0,0
100000648210,829,1983,2000,NA,NA,0,0,0,0
100015777881,829,1979,1982,NA,0,NA,NA,NA,NA
100014998045,829,1977,2000,0,0,0,0,0,0
100017456012,829,1985,1994,NA,NA,0,0,0,NA
100015513486,829,1978,1979,NA,0,NA,NA,NA,NA
100000335236,829,1977,2000,0,0,0,0,0,0
100013708092,829,1981,1983,NA,0,0,NA,NA,NA
100008447222,829,1999,2000,NA,NA,NA,NA,NA,0
100010054677,829,1977,2000,0,0,0,0,0,0
100007862664,829,1998,2000,NA,NA,NA,NA,NA,0
100007298856,829,1985,1989,NA,NA,0,0,NA,NA
100018077745,829,1982,2000,NA,1,1,1,1,1
100009865965,829,1977,2000,1,1,1,1,1,1
100019788776,829,1992,2000,NA,NA,NA,0,1,1
100001876643,829,1998,2000,NA,NA,NA,NA,NA,0
100001771932,829,1991,1993,NA,NA,NA,0,0,NA
100000588707,829,1996,1999,NA,NA,NA,NA,0,0
100017939514,829,1977,2000,1,1,1,1,1,1
100006543871,829,1998,2000,NA,NA,NA,NA,NA,1
100002283866,829,1977,1997,1,1,1,1,1,NA
100007860048,829,1989,1994,NA,NA,NA,1,1,NA
100011226450,829,2000,2000,NA,NA,NA,NA,NA,0
100002275743,829,1979,1983,NA,0,0,NA,NA,NA
100008890790,829,1999,2000,NA,NA,NA,NA,NA,0
100012911870,829,1977,1982,1,1,NA,NA,NA,NA
100011476042,829,1980,1990,NA,1,1,1,NA,NA
100001564602,829,1977,2000,0,0,0,0,0,0
100020496547,829,1998,2000,NA,NA,NA,NA,NA,0
100002145485,829,1982,2000,NA,1,1,1,1,1
100002406143,829,1999,2000,NA,NA,NA,NA,NA,0
100006131572,829,1984,1992,NA,NA,0,0,NA,NA
100011604430,829,1990,2000,NA,NA,NA,0,0,0
100000622931,829,1998,2000,NA,NA,NA,NA,NA,0
100001611905,829,1981,1990,NA,0,0,0,NA,NA
100016243757,829,1999,2000,NA,NA,NA,NA,NA,0
100003759027,829,1999,2000,NA,NA,NA,NA,NA,0
100008002521,829,1984,2000,NA,NA,0,1,1,1
100015071819,829,1996,2000,NA,NA,NA,NA,0,0
100002500554,829,1998,2000,NA,NA,NA,NA,NA,0
100016380861,829,1977,2000,0,0,0,0,0,0
100007897568,829,1977,2000,0,0,0,0,0,0
100016315365,829,1996,1999,NA,NA,NA,NA,0,0
100002133156,829,1997,2000,NA,NA,NA,NA,0,0
100001197566,829,1977,2000,0,0,0,0,0,0
100009965345,829,1988,1992,NA,NA,NA,0,NA,NA
100019170928,829,1981,2000,NA,0,0,0,0,0
100007628022,829,1977,1986,0,0,0,NA,NA,NA
100001014063,829,1977,1979,0,0,NA,NA,NA,NA
100011604100,829,1991,2000,NA,NA,NA,0,0,0
100011309900,829,1993,1996,NA,NA,NA,NA,0,NA
100016901588,829,1999,2000,NA,NA,NA,NA,NA,0
100000807870,829,1990,1996,NA,NA,NA,0,0,NA
100003826384,829,1994,2000,NA,NA,NA,NA,0,0
100006739912,829,1989,2000,NA,NA,NA,0,0,0
100010861701,829,1985,1991,NA,NA,1,1,NA,NA
100009815041,829,1977,2000,0,0,0,0,0,0
100012765527,829,1977,1995,0,0,0,0,0,NA
100004767208,829,1997,2000,NA,NA,NA,NA,0,0
100014651821,829,1998,1999,NA,NA,NA,NA,NA,1
100015550730,829,1977,1987,0,0,1,NA,NA,NA
100006051220,829,1977,2000,1,1,1,1,1,0
100002266587,829,1988,1993,NA,NA,NA,0,0,NA
100011284342,829,1978,2000,NA,0,0,0,0,0
100008589006,829,1995,1996,NA,NA,NA,NA,0,NA
100018552207,829,1994,2000,NA,NA,NA,NA,0,0
100011588839,829,1993,1994,NA,NA,NA,NA,0,NA
100011550433,829,1987,2000,NA,NA,0,0,0,0
100012463617,829,1986,2000,NA,NA,0,0,0,0
100016684265,829,1996,1999,NA,NA,NA,NA,0,0
100017167456,829,2000,2000,NA,NA,NA,NA,NA,0
100012117043,829,1999,2000,NA,NA,NA,NA,NA,0
100015042996,829,1977,1991,0,0,0,0,NA,NA
100005766914,829,1979,1982,NA,0,NA,NA,NA,NA
