"sic3","seed","pMSE_logit","pMSE_CART"
239,1,0.135089869725001,0.169345595356328
239,2,0.140882493575084,0.169542151072874
239,3,0.135487564628622,0.175377121361765
239,4,0.136672677802301,0.17102191897116
239,5,0.132265056415854,0.170682504129854
542,1,0.129590691138509,0.148194798465556
542,2,0.120533083716423,0.147896746275689
542,3,0.135485918662306,0.148500334127492
542,4,0.133984820599179,0.15587872130276
542,5,0.123542102954958,0.14627777558922
829,1,0.130906938289769,0.148002049025925
829,2,0.127030392951219,0.142402112014315
829,3,0.13473465698382,0.149638041746596
829,4,0.130686088685502,0.145312262369868
829,5,0.131636113596036,0.150901791238719
