"sic3","seed","pMSE_logit","pMSE_CART"
239,1,0.0392868760871142,0.116417294889083
239,2,0.03862122285201,0.116133576865777
239,3,0.0523794280437929,0.118933772754231
239,4,0.0427781334361086,0.126208099545085
239,5,0.0449031569993945,0.120645387772155
542,1,0.0538305325221599,0.0965041847362745
542,2,0.049406349096986,0.10029232994826
542,3,0.0410162376988543,0.0963895239923677
542,4,0.0474378020431742,0.111809527511261
542,5,0.0466030147189887,0.0945717648038157
829,1,0.0701199745336688,0.117733517120217
829,2,0.0560368951452299,0.110431288535996
829,3,0.06014664864372,0.113833397989938
829,4,0.0670770633071097,0.115046829412727
829,5,0.0657669905112537,0.11904310574485
