"firstyear","lastyear","prob_noisy"
1977,1977,0.0208186173458164
1977,1978,0.0178442123924544
1977,1979,0.0164568846717954
1977,1980,0.0126703550659123
1977,1981,0.0103179567783328
1977,1982,0.011864934210913
1977,1983,0.00592259990471822
1977,1984,0.00567501578688426
1977,1985,0.006123165106412
1977,1986,0.0048897846281829
1977,1987,0.00612278721623157
1977,1988,0.00437563597705215
1977,1989,0.00420757810616879
1977,1990,0.00370236512390587
1977,1991,0.00395101253891273
1977,1992,0.00457396304134704
1977,1993,0.00348537856179983
1977,1994,0.00365604909265101
1977,1995,0.0031676497715586
1977,1996,0.00329133000707168
1977,1997,0.00336011602815927
1977,1998,0.00255459423140445
1977,1999,0.00200808506026082
1977,2000,0.199297693676225
1978,1978,0
1978,1979,0.0014143929971307
1978,1980,0.00200584292434314
1978,1981,0.00153553498964239
1978,1982,0.00153597437119944
1978,1983,0.00136873075303345
1978,1984,0.000739302331139549
1978,1985,0.00070628806830196
1978,1986,0.000751803322119894
1978,1987,0.00053648010381401
1978,1988,0.000513730681201364
1978,1989,0.000411044961627236
1978,1990,0.000347193681990186
1978,1991,0.000322573222216714
1978,1992,0.000327123803715578
1978,1993,0.000253079619606942
1978,1994,0.000287881859903465
1978,1995,0.000257002386435038
1978,1996,0.00035418073265126
1978,1997,0.000263775618559059
1978,1998,0.000221677714577918
1978,1999,0.000214717428974825
1978,2000,0.00642990422919969
1979,1979,0
1979,1980,0.00206357189817877
1979,1981,0.0023055884307871
1979,1982,0.00160175047097193
1979,1983,0.0010622172357164
1979,1984,0.000994076476464256
1979,1985,0.00074052465215729
1979,1986,0.000773252239198181
1979,1987,0.000960113407557036
1979,1988,0.000479765170548686
1979,1989,0.000438700842684931
1979,1990,0.000362467202122094
1979,1991,0.000441700086925867
1979,1992,0.000314900279543884
1979,1993,0.000369663930912161
1979,1994,0.00029051334735897
1979,1995,0.000237277446449835
1979,1996,0.000317672952428384
1979,1997,0.000218235283746343
1979,1998,0.000341328791016858
1979,1999,0.000179669287356245
1979,2000,0.00564224605369471
1980,1980,8.72619914407922e-06
1980,1981,0.00142357193418038
1980,1982,0.00243934339087536
1980,1983,0.00151209617581903
1980,1984,0.000979712725268572
1980,1985,0.000739516022612776
1980,1986,0.00086217715263883
1980,1987,0.000957817112777996
1980,1988,0.000563516865919401
1980,1989,0.000525421256382932
1980,1990,0.000465005099195689
1980,1991,0.000387495562373398
1980,1992,0.00041983500944896
1980,1993,0.000247890185478345
1980,1994,0.000356175977429957
1980,1995,0.000213350444359228
1980,1996,0.000252501732150562
1980,1997,0.000352426114893733
1980,1998,0.000179600232456988
1980,1999,0.000160934661596998
1980,2000,0.00555406872810219
1981,1981,4.5665260419388e-06
1981,1982,0.00211882580136912
1981,1983,0.00250883793878386
1981,1984,0.00175006311144262
1981,1985,0.00123017393613265
1981,1986,0.000987016453219791
1981,1987,0.000660009145301626
1981,1988,0.000824892739058895
1981,1989,0.000690447914673627
1981,1990,0.000673701343570459
1981,1991,0.000731564589031251
1981,1992,0.000358473233610948
1981,1993,0.0004125849837771
1981,1994,0.000335879641808454
1981,1995,0.000552580938574145
1981,1996,0.00029424138796648
1981,1997,0.000307698393625955
1981,1998,0.000279983637547947
1981,1999,0.00031178696167685
1981,2000,0.00574563621208722
1982,1982,0
1982,1983,0.00217170479195
1982,1984,0.00265505135926263
1982,1985,0.00150911822120426
1982,1986,0.00144685829992262
1982,1987,0.00117421812500859
1982,1988,0.000525979808081338
1982,1989,0.000891785610160839
1982,1990,0.000643240789980248
1982,1991,0.000773265027424606
1982,1992,0.000490519047831053
1982,1993,0.000479676607405878
1982,1994,0.000492974673232221
1982,1995,0.000364733819394627
1982,1996,0.000250255492834265
1982,1997,0.000316898828172502
1982,1998,0.000267142340709245
1982,1999,0.000187092361920445
1982,2000,0.00728911211706434
1983,1983,0
1983,1984,0.00143684884991035
1983,1985,0.00240967760965879
1983,1986,0.0016751595892954
1983,1987,0.00148189535409654
1983,1988,0.0010588214895538
1983,1989,0.000991089236688434
1983,1990,0.000743610321105909
